No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
428 48856 483 31.3991 504  41.0756
429 48912 584 41.5983 574  48.9602
430 48960 647 50.0387 621  56.6896
431 49048 514 35.0197 482  38.8968
432 49128 484 31.4599 496  40.1721
433 49184 129  5.7241 155   9.3780
434 49272 720 63.3494 733  78.0660
435 49288 605 43.7716 572  48.6083
436 49304 598 42.7770 661  63.3098
437 49368 739 67.9035 711  73.0916
438 49400 680 54.0679 709  72.6740
439 49504 500 32.9976 478  38.4246
440 49552 768 78.1034 768  87.9536
441 49680 439 27.7083 510  41.8154
442 49720 382 22.5324 405  31.1187
443 49728  43  1.6991  60   3.2560
444 49760 767 77.7697 765  86.4845
445 49768 374 21.7279 337  24.6344
446 49920 533 36.6651 522  43.7115
447 49936 198 10.1096 381  28.9660
448 49944 436 27.6041 382  29.0116
449 50016 756 73.6729 753  82.4434
450 50088 342 19.4299 308  22.2135
451 50232 564 39.2073 556  47.0245
452 50272 202 10.3635 181  11.2528
453 50320 260 14.6558 408  31.2791
454 50432 784 83.7202 762  85.4685
455 50528 126  5.6092 104   6.0768
456 50544 227 11.6220 211  14.2041
457 50632 746 68.7249 738  79.1127
458 50720 791 87.6156 772  89.9187
459 50880 301 17.1872 258  18.9452
460 51144  72  3.2117 197  12.6153
461 51208 216 10.9845 190  11.9278
462 51488 604 43.7254 563  47.7572
463 51496 338 19.1536 305  21.9083
464 51592 463 29.3939 413  32.0451
465 51656 219 11.1555 235  17.0734
466 51880  85  3.8171  73   4.2211
467 51984 677 53.9084 664  63.5815
468 52264 783 82.8777 796  97.4292
469 52320 210 10.6874 196  12.5260
470 52432  82  3.6591  71   4.1118
471 52488 497 32.7184 495  40.1152
472 52616 274 15.5688 242  17.5499
473 52984 716 61.4393 724  75.7141
474 53088 120  5.3936 107   6.3231
475 53152 448 28.4213 389  29.4023
476 53160 567 39.7068 601  52.4136
477 53168 665 52.6239 713  73.2284
478 53184 117  5.3410 146   8.3408
479 53200 731 66.1043 723  75.6985
480 53248 743 68.3019 728  76.5237
481 53288 588 42.0638 603  52.6326
482 53296 233 12.4497 267  19.5273
483 53320 775 80.3490 775  90.8970
484 53336 539 37.2006 527  44.1910
485 53344 317 18.1781 403  30.9927
486 53448 291 16.6359 259  18.9733
487 53464 212 10.7572 278  20.2460
488 53496 351 20.1785 348  26.0094
489 53504 485 31.4894 469  37.4617
490 53544 797 92.0674 788  94.3872
491 53592 512 34.7693 486  39.0827
492 53712 240 12.9894 252  18.2573
493 53768 110  5.1782  96   5.6876
494 53880 577 40.4638 513  42.5247
495 53916  55  2.1657  49   2.4739
496 53920  17  0.3324  19   0.7590
497 53928 299 17.1305 257  18.7962
498 53944 354 20.2668 303  21.8356
499 53968 710 59.3964 737  78.4291
500 54016 472 29.9646 433  34.2002
501 54024 411 25.0138 426  33.5348
502 54056  32  0.8045  22   0.8708
503 54104 321 18.3351 301  21.7919
504 54160 686 55.1518 761  85.3953
505 54184 177  8.4503 156   9.3954
506 54320 544 37.6708 666  63.6893
507 54344  66  2.7636  58   3.1198
508 54352 265 14.8678 264  19.3892
509 54400 551 38.2691 521  43.6947
510 54656 410 24.9676 394  30.3253
511 54696 637 49.0411 672  64.6805
512 54728 578 40.7069 592  51.4009
513 54776 109  5.1360 122   7.1906
514 54816 298 17.1143 256  18.6914
515 54872 427 26.8593 519  43.0086
516 54888 421 25.8955 385  29.0669
517 54952 428 26.8635 411  31.6838
518 55000 409 24.8877 365  27.2745
519 55136  96  4.4568 101   5.9155
520 55456 572 40.2029 584  50.2549
521 55608 732 66.4774 742  80.4627
522 55664 128  5.7139 157   9.4019
523 55840 445 28.1154 390  29.6292
524 56008 245 13.4731 295  21.2261
525 56088 466 29.7258 435  34.6602
526 56408 689 55.5553 703  71.7142
527 56432  80  3.4134  78   4.6032
528 56496 168  7.6732 153   9.2638
529 56576 377 22.0005 356  26.6627
530 56792 276 15.6700 232  17.0276
531 56912 568 39.7228 548  46.1818
532 56928 787 85.1219 806  89.9822
533 57184 196  9.9200 173  10.7958
534 57232 478 30.8667 439  34.9137
535 57280 364 21.0105 299  21.7009
536 57544 494 31.8133 441  35.1368
537 57696 676 53.7629 656  62.9134
538 57720   6  0.1099   5   0.1350
539 57752 290 16.5498 274  19.6453
540 58032  45  1.7308  42   2.0690
541 58176  83  3.6887  77   4.5130
542 58304 252 14.0828 272  19.6229
543 58384  84  3.7045  70   4.0999
544 58432 687 55.3956 642  60.6208
545 58504 431 27.2699 409  31.5525
546 58696  15  0.2909  11   0.3792
547 58872 729 65.8792 688  68.7687
548 58936  13  0.2026  61   3.3736
549 59054 287 16.2989 289  20.9801
550 59120 220 11.2281 283  20.5969
551 59384 271 15.4222 243  17.7866
552 59520 308 17.4571 291  21.1094
553 59616 801 85.8702 801  89.5565
554 59672 348 19.8652 296  21.3013
555 60008 575 40.3734 575  49.0847
